일자,지점번호,지점명,황사관측(O/X),평균 미세먼지 농도(㎍/㎥),평균 풍속(m/s),최대 풍속(m/s),최대 풍속 풍향(16방위),최다풍향(16방위),기사,최단시정(10m),대기확산지수:+03시간,+06시간,+09시간,+12시간,+15시간,+18시간,+21시간,+24시간
2022-03-06,93,북춘천,,40,1.4,4.4,200,90,,2000,보통,보통,높음,높음,높음,보통,높음,높음
2022-03-06,102,백령도,O,32,7.9,13.9,340,340,-{황사}-0150.,3586,낮음,낮음,보통,보통,보통,보통,보통,보통
2022-03-06,104,북강릉,,,1.8,4.1,290,290,,1752,보통,보통,보통,보통,높음,보통,보통,보통
2022-03-06,108,서울,,49,2.6,4.9,320,270,,2000,보통,보통,보통,낮음,낮음,보통,높음,매우높음
2022-03-06,112,인천,,,4.1,6.7,290,320,,1858,보통,보통,보통,보통,낮음,보통,높음,높음
2022-03-06,115,울릉도,X,32,3.7,7.1,20,50,-{눈}-{눈}0125-{눈}{강도0}0300-{눈}{강도0}0600-{눈}{강도0}0900-1015. {눈}1205-1240.,1200,낮음,낮음,낮음,낮음,낮음,보통,보통,보통
2022-03-06,119,수원,,44,3,5.9,250,290,,1956,보통,보통,보통,낮음,낮음,높음,높음,매우높음
2022-03-06,131,청주,,,2.1,3.9,290,270,,2689,보통,보통,보통,낮음,보통,높음,매우높음,매우높음
2022-03-06,133,대전,,,2.3,5.6,320,320,,2000,보통,보통,보통,낮음,보통,높음,매우높음,매우높음
2022-03-06,136,안동,,32,2.6,5.1,270,290,,1965,보통,보통,보통,보통,보통,보통,보통,높음
2022-03-06,138,포항,,,3,5.3,50,250,,1753,보통,보통,보통,낮음,보통,높음,매우높음,높음
2022-03-06,143,대구,,32,3.5,6.8,290,290,,1973,보통,보통,보통,보통,보통,보통,보통,높음
2022-03-06,146,전주,,23,1.8,4.5,320,270,,2000,보통,보통,보통,낮음,보통,보통,매우높음,매우높음
2022-03-06,152,울산,,21,3.1,5.8,290,290,,1996,보통,보통,보통,낮음,보통,보통,높음,높음
2022-03-06,155,창원,,,1.3,3.3,50,50,,2000,보통,보통,보통,낮음,보통,보통,보통,높음
2022-03-06,156,광주,,30,1.5,4.7,50,20,,1980,보통,보통,보통,낮음,보통,보통,높음,높음
2022-03-06,159,부산,,,2.6,6.1,230,50,,4450,보통,보통,보통,낮음,보통,보통,높음,높음
2022-03-06,168,여수,,,6,9.6,320,320,,1600,보통,보통,낮음,보통,보통,보통,보통,보통
2022-03-06,177,홍성,,,1.8,3.9,340,320,,2331,보통,보통,보통,보통,낮음,보통,보통,보통
2022-03-06,184,제주,X,,4.1,6.4,320,340,{햇무리}1625-1655.,3093,낮음,낮음,낮음,보통,보통,보통,보통,보통
2022-03-06,169,흑산도,,38,9.5,13.3,360,360,,2787,보통,보통,보통,낮음,보통,보통,높음,매우높음
2022-03-06,189,서귀포,,,2.1,4.9,180,180,,1738,보통,보통,보통,보통,보통,보통,높음,높음
2022-03-06,165,목포,,,7.8,11.9,320,340,,1967,보통,보통,보통,보통,보통,보통,보통,보통
